gender,age,grade,q1a,q1b,q2a,q2b,q3a,q1,q2,q3,q4
NA,NA,NA,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boy,9,4,Sometimes,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Decreased
Prefer not to answer,9,4,Most or all of the time,Most or all of the time,Most or all of the time,NA,Most or all of the time,Maintained,NA,NA,Maintained
Boy,10,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Decreased
Not listed (may specify here),9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Increased
Girl,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Increased
Girl,10,4,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Sometimes,Decreased,Decreased,Maintained,Decreased
Girl,9,4,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Decreased,Increased,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,10,4,A little or none of the time,Sometimes,Sometimes,A little or none of the time,Sometimes,Increased,Decreased,Maintained,Decreased
Not listed (may specify here),10,5,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Maintained,Decreased
Boy,9,5,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Increased
Girl,9,4,A little or none of the time,NA,NA,Most or all of the time,Sometimes,NA,NA,NA,NA
Boy,9,4,Most or all of the time,NA,Most or all of the time,NA,Most or all of the time,NA,NA,NA,NA
Boy,9,4,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Decreased,Increased,Maintained,Decreased
Not listed (may specify here),9,4,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Decreased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Maintained,Maintained
Girl,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Increased,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Increased
Girl,10,4,Sometimes,NA,Sometimes,NA,Most or all of the time,NA,NA,Decreased,Increased
Boy,9,4,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Increased,Decreased,Maintained,Maintained
Girl,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Increased
Boy,9,4,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Decreased,Maintained
Prefer not to answer,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Girl,9,3,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Most or all of the time,Decreased,Increased,Maintained,NA
Girl,8,3,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Decreased
Not listed (may specify here),13,NA,A little or none of the time,Most or all of the time,Sometimes,NA,Sometimes,Increased,NA,NA,Decreased
Girl,NA,NA,NA,Most or all of the time,NA,Sometimes,NA,NA,NA,NA,NA
Girl,8,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Decreased,Decreased
Prefer not to answer,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Decreased
Boy,7,3,Most or all of the time,NA,Most or all of the time,NA,Most or all of the time,NA,NA,Decreased,NA
Girl,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Prefer not to answer,8,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,A little or none of the time,Maintained,Decreased,Maintained,Increased
Boy,9,3,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,NA,Maintained
Girl,9,3,Most or all of the time,Most or all of the time,Most or all of the time,NA,NA,Maintained,NA,NA,NA
Girl,8,3,Sometimes,NA,Sometimes,NA,Most or all of the time,NA,NA,NA,NA
Boy,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Decreased
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,10,5,Most or all of the time,NA,Most or all of the time,Sometimes,Most or all of the time,NA,Decreased,Decreased,Increased
Not listed (may specify here),9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,10,4,Sometimes,Sometimes,Sometimes,A little or none of the time,NA,Maintained,Decreased,NA,Increased
Prefer not to answer,9,4,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Decreased,Increased,Maintained,Decreased
Prefer not to answer,10,4,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,Decreased,Decreased,Maintained,Decreased
Girl,9,4,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Increased
Prefer not to answer,9,4,Most or all of the time,NA,Most or all of the time,NA,Most or all of the time,NA,NA,NA,NA
Girl,10,4,Most or all of the time,NA,NA,A little or none of the time,Most or all of the time,NA,NA,NA,NA
Boy,9,4,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Decreased,Maintained
Not listed (may specify here),10,4,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Decreased,Decreased
Girl,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,NA,NA
Boy,9,4,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Sometimes,Decreased,Increased,Increased,Increased
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Not listed (may specify here),9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,4,Sometimes,A little or none of the time,NA,A little or none of the time,Most or all of the time,Decreased,NA,Maintained,Maintained
Not listed (may specify here),10,3,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Most or all of the time,Decreased,Increased,Maintained,Increased
Not listed (may specify here),9,4,A little or none of the time,Sometimes,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Decreased
Boy,9,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
NA,NA,NA,NA,NA,Sometimes,NA,Most or all of the time,NA,NA,NA,Maintained
Prefer not to answer,9,4,Sometimes,NA,NA,A little or none of the time,NA,NA,NA,NA,NA
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Sometimes,Decreased,Decreased,Maintained,Decreased
Girl,9,4,NA,Sometimes,Most or all of the time,NA,Most or all of the time,NA,NA,NA,NA
Prefer not to answer,9,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Decreased,Decreased
Girl,10,4,Most or all of the time,NA,Sometimes,NA,NA,NA,NA,NA,NA
Boy,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,A little or none of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Increased,Decreased,Decreased,Decreased
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Increased,Decreased,Increased,Decreased
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Decreased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Most or all of the time,A little or none of the time,Most or all of the time,NA,Sometimes,Decreased,NA,Maintained,Decreased
Not listed (may specify here),9,4,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Maintained,Maintained
Boy,10,4,NA,Sometimes,NA,A little or none of the time,Sometimes,NA,NA,NA,Maintained
Prefer not to answer,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,3,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,Decreased,Increased,Decreased,Increased
Girl,9,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,4,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Decreased,Decreased,Decreased,Increased
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Decreased,Increased
Girl,10,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Sometimes,Decreased,Increased,Maintained,Increased
NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,A little or none of the time,NA,NA,NA,NA,Increased
NA,NA,NA,NA,Most or all of the time,NA,Sometimes,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Most or all of the time,Sometimes,NA,NA,NA,Decreased,NA,NA,NA
NA,NA,NA,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
NA,NA,NA,A little or none of the time,A little or none of the time,Most or all of the time,A little or none of the time,A little or none of the time,Maintained,Decreased,NA,NA
NA,NA,NA,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA
Boy,11,4,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,9,3,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
NA,NA,NA,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prefer not to answer,9,4,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Prefer not to answer,10,4,NA,Sometimes,Most or all of the time,NA,Sometimes,NA,NA,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
Not listed (may specify here),9,4,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Decreased,Increased,Maintained,Maintained
Boy,10,4,Sometimes,Most or all of the time,NA,NA,Most or all of the time,Increased,NA,Maintained,Maintained
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Increased
Boy,9,4,Sometimes,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Decreased
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,10,4,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Decreased,Decreased
Girl,10,4,Sometimes,Sometimes,Sometimes,A little or none of the time,Sometimes,Maintained,Decreased,Increased,Increased
Prefer not to answer,16,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Increased,Decreased
Girl,9,4,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,NA
Prefer not to answer,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Maintained,Decreased
NA,10,4,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
Girl,10,4,Sometimes,A little or none of the time,Sometimes,Sometimes,Sometimes,Decreased,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Prefer not to answer,10,4,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,10,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,9,4,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,9,4,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Decreased,Increased
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,9,4,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Maintained,Maintained
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Girl,10,4,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Increased
Girl,9,4,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,4,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Decreased
Boy,10,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Maintained,Maintained
Girl,10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,10,4,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Decreased,Increased
Prefer not to answer,10,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Not listed (may specify here),10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,12,4,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Maintained
Not listed (may specify here),9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,11,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,11,5,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Decreased,Decreased
Girl,10,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,11,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Prefer not to answer,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,10,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,5,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Maintained
Girl,10,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Girl,11,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,11,5,Most or all of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Decreased,Maintained
Boy,10,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,11,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,11,5,NA,Sometimes,NA,Sometimes,NA,NA,NA,NA,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Maintained,Decreased,Increased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Girl,10,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Girl,12,5,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Maintained
Boy,10,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,11,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,NA,NA,Most or all of the time,Maintained,NA,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,10,5,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,NA,Sometimes,NA,Most or all of the time,NA,NA,NA,NA
Boy,9,4,Sometimes,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Decreased,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,NA,Sometimes,Maintained,NA,Increased,NA
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Maintained
NA,11,5,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Decreased,Increased,Decreased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
Boy,10,5,Most or all of the time,Most or all of the time,Most or all of the time,NA,Sometimes,Maintained,NA,Increased,Maintained
Girl,11,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Girl,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Prefer not to answer,11,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Decreased,Decreased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Prefer not to answer,12,5,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Not listed (may specify here),11,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,11,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Decreased,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Increased,Increased
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Girl,10,5,A little or none of the time,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Increased,Maintained,Increased,Maintained
NA,NA,NA,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Maintained,Maintained
NA,NA,NA,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Increased
NA,9,3,Most or all of the time,NA,NA,A little or none of the time,NA,NA,NA,NA,NA
Boy,9,3,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Decreased,Decreased
Girl,9,3,Most or all of the time,NA,Sometimes,Most or all of the time,Sometimes,NA,Increased,Maintained,Increased
Boy,9,3,Sometimes,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
Boy,9,3,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,3,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Maintained,Maintained
Girl,9,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Girl,9,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,9,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Boy,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Girl,8,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Increased,Decreased,Maintained,Maintained
Girl,9,4,Most or all of the time,Most or all of the time,NA,NA,Most or all of the time,Maintained,NA,NA,Maintained
Prefer not to answer,8,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
NA,10,3,A little or none of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Increased
Not listed (may specify here),9,3,Sometimes,NA,Most or all of the time,NA,NA,NA,NA,NA,Increased
Girl,9,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
Girl,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
NA,NA,NA,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
NA,NA,NA,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
